activity_id,customer_id,date_id,channel_id,session_duration_sec,pages_viewed,actions_taken,bounce
87,93,530,4,8,1,0,1
88,82,250,6,1234,9,10,0
89,211,696,3,692,5,6,0
90,257,410,3,1592,10,14,0
91,3,178,3,1205,17,13,0
92,138,179,6,121,19,11,0
93,385,465,6,26,1,0,1
94,464,249,3,1365,19,11,0
95,242,238,3,17,1,0,1
96,48,343,6,373,13,12,0
97,171,577,1,557,16,12,0
98,190,253,6,1056,2,13,0
99,54,273,4,1613,12,7,0
100,435,596,6,16,1,0,1
101,450,453,3,29,1,0,1
102,369,326,6,487,11,6,0
103,358,706,6,845,5,10,0
104,79,297,2,1458,13,15,0
105,78,305,1,703,16,2,0
106,235,661,6,18,1,0,1
107,382,641,5,469,11,8,0
108,338,294,4,22,1,0,1
109,384,440,2,1379,19,0,0
110,52,403,6,1112,5,9,0
111,303,655,2,1271,20,2,0
112,182,230,6,1034,3,3,0
113,401,528,6,412,15,2,0
114,12,510,2,20,1,0,1
115,31,483,6,10,1,0,1
116,396,5,1,570,18,13,0
117,491,568,6,49,18,4,0
118,141,588,2,251,5,3,0
119,204,202,5,1583,10,14,0
120,166,658,3,1726,5,5,0
121,360,304,3,1547,13,6,0
122,98,613,1,952,5,9,0
123,203,587,3,21,1,0,1
124,41,684,1,381,14,12,0
125,291,472,1,1280,14,14,0
126,14,422,6,1137,8,6,0
127,308,114,1,224,13,3,0
128,403,585,1,8,1,0,1
129,368,253,5,1242,9,1,0
130,42,200,2,484,9,8,0
131,470,682,4,20,1,0,1
132,106,703,3,1102,4,9,0
133,289,559,6,13,1,0,1
134,32,73,4,20,1,0,1
135,20,76,3,1124,3,3,0
136,500,290,5,1350,19,2,0
137,25,320,6,340,2,4,0
138,426,428,4,253,13,1,0
139,38,636,5,91,8,9,0
140,489,206,3,21,1,0,1
141,479,338,3,1143,9,4,0
142,108,327,2,162,14,1,0
143,290,688,1,1004,19,3,0
144,279,392,1,7,1,0,1
145,247,102,6,186,16,3,0
146,70,723,1,23,1,0,1
147,475,17,2,631,15,0,0
148,478,534,5,30,1,0,1
149,149,95,1,281,18,14,0
150,154,325,2,1002,3,6,0
151,244,523,3,1015,13,9,0
152,97,620,1,499,18,2,0
153,327,512,3,24,1,0,1
154,337,389,1,1612,19,9,0
155,329,156,1,16,1,0,1
156,25,78,6,12,1,0,1
157,172,224,3,6,1,0,1
158,340,444,6,389,13,2,0
159,130,353,3,352,11,5,0
160,255,320,1,14,5,11,0
161,369,67,6,19,1,0,1
162,306,722,5,575,17,11,0
163,310,290,5,1177,20,7,0
164,16,379,1,1220,11,13,0
165,481,680,4,436,12,11,0
166,152,150,2,928,3,14,0
167,207,137,6,16,1,0,1
168,14,266,4,1799,1,15,0
169,22,85,3,25,1,0,1
170,57,228,1,1686,13,13,0
171,134,42,6,1058,15,3,0
172,2,654,4,847,18,1,0
173,498,103,4,287,18,4,0
174,209,173,2,21,1,0,1
175,63,360,6,340,5,7,0
176,76,186,2,22,1,0,1
177,7,549,3,20,1,0,1
178,80,539,2,743,20,9,0
179,140,95,1,28,1,0,1
180,138,464,5,1653,4,7,0
181,401,105,6,246,8,11,0
182,423,322,2,662,15,4,0
183,330,544,5,9,1,0,1
184,4,448,3,250,12,15,0
185,21,614,4,1083,8,0,0
186,277,18,1,5,1,0,1
187,53,637,3,1785,11,7,0
188,314,341,2,1621,17,3,0
189,135,295,4,1148,14,14,0
190,453,644,2,22,1,0,1
191,44,657,5,26,1,0,1
192,313,229,1,799,8,11,0
193,468,573,6,1464,1,7,0
194,300,119,6,308,4,7,0
195,318,456,3,500,13,0,0
196,170,566,3,715,16,11,0
197,157,715,1,1125,9,5,0
198,378,1,4,1244,14,1,0
199,184,157,5,1254,18,13,0
200,35,50,4,15,1,0,1
201,124,240,4,1558,9,11,0
202,23,85,4,661,5,14,0
203,475,229,4,1369,18,2,0
204,461,566,1,9,1,0,1
205,326,21,5,584,7,15,0
206,316,629,2,1321,20,12,0
207,155,471,4,10,1,0,1
208,449,10,5,587,6,7,0
209,462,257,2,445,10,0,0
210,141,82,4,1462,5,9,0
211,170,351,2,17,1,0,1
212,168,548,3,655,15,9,0
213,300,30,4,366,16,12,0
214,143,169,3,19,1,0,1
215,391,219,2,26,1,0,1
216,407,347,6,24,1,0,1
217,93,228,1,15,1,0,1
218,472,143,5,802,8,1,0
219,467,144,5,18,1,0,1
220,464,707,5,1238,3,14,0
221,249,303,2,24,1,0,1
222,68,28,3,7,1,0,1
223,278,182,1,745,8,5,0
224,196,619,2,982,1,12,0
225,65,364,1,11,1,0,1
226,119,601,2,21,1,0,1
227,273,367,1,10,1,0,1
228,215,98,6,23,1,0,1
229,296,246,6,12,1,0,1
230,317,232,4,24,1,0,1
231,310,64,1,129,1,5,0
232,332,350,4,213,13,4,0
233,175,386,6,27,1,0,1
234,359,505,1,1062,12,11,0
235,159,3,6,930,19,4,0
236,147,353,6,30,1,0,1
237,70,240,1,798,15,14,0
238,274,78,3,688,13,9,0
239,148,251,4,36,4,9,0
240,181,201,6,1268,4,2,0
241,499,511,4,871,14,10,0
242,91,675,4,25,1,0,1
243,215,69,2,64,19,5,0
244,421,718,6,667,16,1,0
245,38,640,1,329,5,7,0
246,59,401,4,25,1,0,1
247,475,453,1,801,16,13,0
248,126,139,2,11,1,0,1
249,64,553,3,1209,5,2,0
250,194,652,5,1485,10,11,0
251,467,510,1,180,10,4,0
252,99,23,1,69,8,14,0
253,396,252,5,1550,18,4,0
254,360,715,1,434,5,8,0
255,307,675,6,1038,13,12,0
256,65,491,5,1471,9,3,0
257,284,207,6,1027,14,10,0
258,452,350,2,1082,5,1,0
259,399,282,6,5,1,0,1
260,412,362,2,1444,14,12,0
261,221,456,2,16,1,0,1
262,74,500,2,13,1,0,1
263,177,226,2,1011,12,12,0
264,385,396,5,971,14,8,0
265,262,301,5,882,6,5,0
266,411,592,3,27,1,0,1
267,62,23,3,843,5,10,0
268,212,593,2,23,1,0,1
269,197,547,3,1768,4,4,0
270,28,432,2,1547,15,13,0
271,92,612,2,1524,11,0,0
272,300,221,3,1412,9,4,0
273,295,113,3,18,1,0,1
274,337,381,1,391,5,6,0
275,253,473,5,27,1,0,1
276,359,685,6,1441,1,9,0
277,498,505,6,1171,15,4,0
278,443,533,3,1439,2,14,0
279,118,666,5,21,1,0,1
280,150,464,5,26,1,0,1
281,484,148,2,405,15,4,0
282,475,582,6,1450,9,10,0
283,473,405,4,17,1,0,1
284,228,13,4,413,14,7,0
285,435,533,4,420,1,3,0
286,71,156,1,6,1,0,1
287,369,693,5,608,17,8,0
288,419,260,5,11,1,0,1
289,386,218,4,19,1,0,1
290,196,24,5,350,18,12,0
291,379,654,1,1438,7,12,0
292,172,656,6,13,1,0,1
293,147,446,5,282,1,11,0
294,144,582,6,1717,2,3,0
295,75,268,5,766,3,6,0
296,423,669,1,168,4,10,0
297,57,487,3,30,1,0,1
298,367,708,6,1325,2,1,0
299,269,522,5,25,1,0,1
300,377,37,3,532,3,1,0
301,140,248,1,16,1,0,1
302,458,522,3,165,7,10,0
303,325,671,1,13,1,0,1
304,112,489,3,948,11,11,0
305,101,44,5,1319,1,3,0
306,265,326,4,587,15,3,0
307,418,462,5,547,2,2,0
308,312,39,2,957,4,12,0
309,270,711,5,1332,7,15,0
310,224,96,1,759,17,12,0
311,410,530,4,241,3,15,0
312,198,450,3,1196,17,6,0
313,82,424,1,985,2,10,0
314,171,550,2,777,7,8,0
315,277,69,5,722,14,10,0
316,77,559,3,515,12,7,0
317,297,672,5,1587,17,5,0
318,199,410,6,9,1,0,1
319,464,718,4,15,1,0,1
320,35,698,3,1114,9,13,0
321,249,620,2,18,7,0,0
322,264,350,2,10,1,0,1
323,237,184,4,1554,13,13,0
324,416,663,2,532,11,2,0
325,416,728,1,347,11,4,0
326,190,308,4,228,8,0,0
327,240,196,1,1106,19,15,0
328,370,9,6,19,1,0,1
329,115,569,6,1739,6,15,0
330,241,467,6,1557,4,3,0
331,257,300,2,663,5,15,0
332,472,400,2,12,20,1,0
333,465,85,2,7,1,0,1
334,73,286,2,11,1,0,1
335,149,501,2,26,1,0,1
336,179,675,4,1748,15,15,0
337,317,729,4,8,1,0,1
338,299,647,4,231,13,11,0
339,223,359,4,834,15,13,0
340,311,625,6,26,1,0,1
341,438,241,2,598,9,0,0
342,366,376,2,10,1,0,1
343,430,289,2,1391,13,11,0
344,235,640,2,27,1,0,1
345,429,91,5,7,1,0,1
346,125,639,6,37,15,0,0
347,146,490,6,508,14,1,0
348,172,505,6,1211,4,2,0
349,169,39,6,1447,4,1,0
350,363,156,4,5,1,0,1
351,17,138,4,16,1,0,1
352,368,214,6,545,15,10,0
353,443,570,2,461,11,9,0
354,366,212,3,1017,3,5,0
355,293,413,4,23,1,0,1
356,130,394,2,27,1,0,1
357,212,649,4,1757,10,7,0
358,12,213,1,1023,5,13,0
359,75,531,2,645,13,10,0
360,456,607,2,28,1,0,1
361,66,298,1,90,2,4,0
362,201,681,1,7,1,0,1
363,383,387,1,664,3,0,0
364,174,287,2,1697,5,15,0
365,206,668,2,1504,2,6,0
366,164,431,6,454,13,6,0
367,46,60,1,1489,2,1,0
368,305,603,2,145,18,14,0
369,373,4,3,1758,18,1,0
370,330,237,3,27,1,0,1
371,34,344,5,1239,6,1,0
372,118,51,3,1456,8,14,0
373,46,249,4,816,6,0,0
374,416,85,2,290,14,2,0
375,443,586,3,1607,15,8,0
376,434,4,3,1480,8,2,0
377,442,91,1,724,18,6,0
378,380,251,1,1775,20,13,0
379,104,620,4,1277,17,9,0
380,49,572,5,265,10,4,0
381,311,239,4,845,12,0,0
382,54,416,4,884,16,3,0
383,246,408,2,1357,17,6,0
384,121,443,5,1087,12,0,0
385,336,407,6,10,1,0,1
386,206,177,5,335,6,13,0
387,228,528,6,1064,1,6,0
388,204,88,4,1683,11,5,0
389,470,657,5,26,1,0,1
390,276,624,1,959,10,7,0
391,290,549,1,287,11,10,0
392,246,477,2,898,11,15,0
393,13,563,2,1150,12,0,0
394,474,75,6,605,4,14,0
395,485,397,3,20,1,0,1
396,97,586,1,1695,5,11,0
397,180,96,5,1101,15,2,0
398,431,316,5,887,2,1,0
399,185,45,1,1481,20,5,0
400,305,721,6,10,1,0,1
401,229,575,4,725,15,1,0
402,329,18,2,1217,7,0,0
403,375,154,3,25,1,0,1
404,330,520,4,25,1,0,1
405,141,176,5,29,1,0,1
406,206,678,6,1240,12,4,0
407,83,233,2,845,20,6,0
408,325,575,1,797,6,1,0
409,488,511,6,11,1,0,1
410,70,268,2,17,1,0,1
411,217,143,3,1447,19,14,0
412,241,651,3,60,11,15,0
413,354,95,6,1571,9,9,0
414,340,612,3,845,16,8,0
415,195,556,4,30,1,0,1
416,331,312,3,16,1,0,1
417,170,68,3,17,1,0,1
418,459,563,5,1367,14,11,0
419,264,204,6,1540,9,6,0
420,288,235,6,733,18,13,0
421,438,427,4,452,14,12,0
422,266,321,2,325,1,14,0
423,269,483,1,1050,20,9,0
424,396,667,4,29,1,0,1
425,288,224,6,1708,9,9,0
426,500,441,5,27,1,0,1
427,275,33,3,58,10,10,0
428,185,33,5,368,18,8,0
429,85,9,1,947,7,8,0
430,389,618,2,23,1,0,1
431,240,458,2,28,1,0,1
432,73,605,3,562,12,0,0
433,474,30,1,18,1,0,1
434,287,360,1,16,1,0,1
435,68,706,6,25,1,0,1
436,176,24,6,10,1,0,1
437,49,320,2,713,8,2,0
438,238,611,3,29,1,0,1
439,345,701,2,1698,8,15,0
440,427,339,2,171,4,3,0
441,337,362,5,5,1,0,1
442,445,171,4,16,1,0,1
443,236,271,2,22,1,0,1
444,346,390,2,1660,12,3,0
445,269,373,4,467,17,6,0
446,347,359,3,609,11,2,0
447,388,442,1,30,1,0,1
448,466,641,1,1207,8,10,0
449,245,682,3,16,1,0,1
450,161,701,2,1420,15,1,0
451,214,139,4,391,18,3,0
452,103,254,4,522,13,3,0
453,72,89,6,660,16,11,0
454,369,171,4,537,4,5,0
455,15,527,3,1086,4,14,0
456,8,604,5,131,14,7,0
457,427,442,2,5,1,0,1
458,121,634,5,698,3,13,0
459,482,61,3,697,2,10,0
460,421,605,5,302,5,13,0
461,347,103,2,1567,7,8,0
462,424,544,5,1096,2,9,0
463,436,93,6,607,5,1,0
464,312,249,4,14,1,0,1
465,440,696,2,1142,6,7,0
466,131,136,4,16,1,0,1
467,227,388,4,388,20,2,0
468,170,300,5,5,1,0,1
469,322,265,2,184,17,6,0
470,128,447,5,772,8,2,0
471,352,669,2,1370,19,15,0
472,348,658,1,666,1,13,0
473,300,118,6,19,1,0,1
474,200,348,1,935,7,5,0
475,432,438,2,1413,20,2,0
476,375,516,4,478,20,4,0
477,304,564,2,17,1,0,1
478,39,330,4,456,15,13,0
479,59,28,3,290,19,14,0
480,227,659,3,719,20,2,0
481,101,58,3,571,11,1,0
482,91,7,2,29,1,0,1
483,381,534,2,1157,16,1,0
484,382,318,6,719,2,5,0
485,258,410,4,1569,13,1,0
486,399,49,3,5,1,0,1
487,369,211,3,845,15,11,0
488,36,550,6,28,1,0,1
489,404,435,5,21,1,0,1
490,39,250,5,26,1,0,1
491,89,74,1,29,1,0,1
492,125,251,3,778,2,3,0
493,82,153,1,211,8,5,0
494,121,178,1,1588,18,6,0
495,40,689,4,1081,4,13,0
496,431,10,2,22,1,0,1
497,342,697,1,1338,16,7,0
498,308,13,4,1544,17,9,0
499,220,494,2,104,2,0,0
500,42,264,6,1478,4,1,0
501,468,10,4,243,14,7,0
502,187,29,6,26,1,0,1
503,311,329,1,379,7,14,0
504,191,83,1,29,1,0,1
505,42,638,3,1645,10,11,0
506,187,431,5,20,1,0,1
507,203,353,3,17,1,0,1
508,308,191,4,886,16,2,0
509,229,701,1,27,1,0,1
510,257,513,4,1546,5,13,0
511,182,411,1,9,1,0,1
512,392,391,4,1123,8,0,0
513,254,213,4,211,7,15,0
514,422,48,2,1503,5,6,0
515,475,296,6,789,3,9,0
516,201,391,2,20,1,0,1
517,373,224,1,617,4,2,0
518,214,100,6,620,6,3,0
519,152,524,2,240,20,12,0
520,378,432,2,861,9,15,0
521,129,398,3,17,1,0,1
522,290,397,5,1055,16,0,0
523,283,573,2,5,1,0,1
524,278,226,4,26,1,0,1
525,329,234,4,1502,8,2,0
526,296,186,6,306,20,3,0
527,86,495,1,795,11,7,0
528,23,271,1,17,1,0,1
529,352,149,5,202,3,14,0
530,263,161,3,20,1,0,1
531,99,21,1,22,1,0,1
532,357,598,4,25,1,0,1
533,424,492,3,26,1,0,1
534,314,534,6,526,19,15,0
535,298,630,4,1288,20,1,0
536,477,139,1,1014,4,3,0
537,438,420,3,18,1,0,1
538,378,98,5,1279,18,3,0
539,457,10,4,167,16,6,0
540,351,724,3,842,8,3,0
541,103,97,2,1231,15,11,0
542,230,183,6,1785,14,3,0
543,157,624,4,456,16,2,0
544,430,217,5,27,1,0,1
545,332,595,5,119,13,5,0
546,59,213,6,1696,1,15,0
547,253,357,2,30,1,0,1
548,88,118,4,464,7,13,0
549,411,248,1,972,20,10,0
550,19,47,3,27,1,0,1
551,29,249,4,1387,6,11,0
552,191,529,3,1041,8,10,0
553,463,241,6,1234,19,3,0
554,436,286,6,11,1,0,1
555,79,149,3,1601,11,3,0
556,140,72,5,1444,6,10,0
557,450,69,6,1523,9,15,0
558,460,184,1,1687,6,6,0
559,20,125,6,1120,13,7,0
560,134,367,3,210,7,8,0
561,49,322,4,455,2,7,0
562,396,482,5,17,1,0,1
563,378,346,5,104,19,13,0
564,157,372,5,1112,15,4,0
565,469,33,5,1544,20,5,0
566,236,496,6,1600,7,10,0
567,390,96,4,830,17,2,0
568,106,221,5,20,1,0,1
569,220,464,1,20,1,0,1
570,62,491,6,473,10,0,0
571,93,313,2,1342,6,5,0
572,484,277,1,1419,20,7,0
573,32,422,6,513,6,7,0
574,158,15,1,1124,4,9,0
575,87,304,5,13,1,0,1
576,343,32,2,27,1,0,1
577,414,377,1,27,1,0,1
578,225,422,3,1446,3,3,0
579,264,437,6,143,11,13,0
580,5,628,5,593,4,9,0
581,99,636,5,1279,3,6,0
582,164,319,6,284,10,10,0
583,351,649,5,124,17,5,0
584,39,684,1,65,7,10,0
585,316,274,2,1544,19,5,0
586,490,179,2,20,1,0,1
587,196,444,5,1369,14,5,0
588,292,356,2,484,18,12,0
589,129,96,1,25,1,0,1
590,401,197,5,1396,1,7,0
591,157,130,3,1348,5,9,0
592,218,690,2,21,1,0,1
593,139,420,2,422,10,7,0
594,132,214,4,769,4,12,0
595,314,261,6,86,17,13,0
596,186,295,2,592,8,5,0
597,318,137,5,685,11,0,0
598,105,349,1,1192,12,5,0
599,437,573,6,1081,20,11,0
600,451,492,6,1782,1,7,0
601,414,620,4,590,11,6,0
602,50,482,4,682,2,8,0
603,411,563,5,422,1,1,0
604,409,603,3,571,5,14,0
605,141,292,6,28,1,0,1
606,206,683,4,1067,14,13,0
607,276,626,5,538,15,0,0
608,55,469,6,1757,1,13,0
609,44,268,5,911,3,2,0
610,389,221,5,13,1,0,1
611,487,459,1,699,13,15,0
612,215,443,6,677,1,10,0
613,373,518,4,5,1,0,1
614,197,504,6,609,9,5,0
615,356,213,3,24,1,0,1
616,223,590,5,681,1,8,0
617,466,18,6,696,14,13,0
618,296,235,4,712,10,1,0
619,365,271,2,30,1,0,1
620,37,483,6,1109,19,5,0
621,411,457,1,625,2,4,0
622,442,699,2,1113,11,15,0
623,89,386,3,1063,3,13,0
624,128,530,6,598,19,7,0
625,209,573,1,1384,13,6,0
626,180,227,1,1484,3,0,0
627,436,145,4,1134,19,12,0
628,44,626,6,436,1,9,0
629,258,378,2,1788,16,14,0
630,193,487,1,452,13,10,0
631,27,199,6,875,7,8,0
632,145,217,6,1228,9,12,0
633,307,387,6,1522,8,7,0
634,37,691,2,11,1,0,1
635,226,696,4,7,1,0,1
636,432,49,4,460,4,14,0
637,444,366,4,955,14,5,0
638,456,140,4,511,13,14,0
639,357,43,5,1267,18,15,0
640,136,508,3,1265,9,9,0
641,482,293,5,1469,11,4,0
642,435,195,4,1545,15,8,0
643,446,29,2,985,13,14,0
644,244,289,1,553,5,0,0
645,246,432,4,736,3,9,0
646,180,205,3,190,3,10,0
647,393,213,6,1601,7,1,0
648,30,34,6,1479,2,8,0
649,408,419,3,825,12,4,0
650,149,270,3,12,1,0,1
651,491,342,6,1355,14,11,0
652,489,185,2,26,1,0,1
653,211,441,1,25,1,0,1
654,469,688,1,1774,2,8,0
655,438,585,6,171,3,1,0
656,418,316,5,1553,12,13,0
657,308,706,5,21,1,0,1
658,377,409,3,174,3,3,0
659,163,515,2,1543,15,8,0
660,40,320,6,637,16,14,0
661,48,523,6,1574,14,15,0
662,144,473,6,1205,14,12,0
663,440,393,5,311,20,0,0
664,365,137,3,837,11,11,0
665,329,634,1,13,1,0,1
666,360,239,6,484,1,5,0
667,96,509,4,595,1,10,0
668,247,697,2,24,1,0,1
669,90,160,1,528,2,11,0
670,449,91,5,17,1,0,1
671,158,497,3,933,8,6,0
672,430,93,3,939,17,10,0
673,234,307,3,9,1,0,1
674,168,621,3,14,1,0,1
675,477,689,2,28,1,0,1
676,259,493,6,12,1,0,1
677,43,551,6,1406,14,13,0
678,444,509,4,629,4,6,0
679,105,376,1,21,1,0,1
680,5,145,3,1062,12,6,0
681,484,429,3,22,1,0,1
682,179,216,5,1089,18,11,0
683,356,122,4,1137,20,10,0
684,319,635,1,1666,19,9,0
685,347,78,2,1144,13,10,0
686,266,114,4,953,12,5,0
687,106,100,5,12,1,0,1
688,391,586,1,1131,2,1,0
689,492,546,1,1687,9,12,0
690,66,721,5,10,1,0,1
691,81,106,6,1255,12,14,0
692,124,54,5,1516,4,5,0
693,161,159,4,11,1,0,1
694,45,303,6,17,1,0,1
695,128,86,3,25,1,0,1
696,101,56,1,666,8,1,0
697,414,315,3,5,1,0,1
698,273,91,6,1468,4,1,0
699,455,418,3,1267,18,9,0
700,161,328,4,843,14,7,0
701,157,334,3,255,18,5,0
702,51,145,4,1267,20,8,0
703,29,427,3,1411,3,3,0
704,498,108,6,28,1,0,1
705,329,390,6,1271,3,0,0
706,386,720,6,21,1,0,1
707,82,681,3,284,4,12,0
708,214,516,2,321,3,15,0
709,327,412,2,1341,13,12,0
710,16,542,2,1303,9,15,0
711,478,726,1,1537,1,0,0
712,118,143,6,1647,12,15,0
713,68,565,6,19,1,0,1
714,104,162,2,5,1,0,1
715,331,677,4,13,1,0,1
716,316,506,6,273,9,6,0
717,481,126,2,1259,12,2,0
718,96,46,3,26,1,0,1
719,453,658,1,1456,5,12,0
720,195,45,3,22,1,0,1
721,406,187,3,5,1,0,1
722,184,308,4,549,15,12,0
723,311,350,1,1480,19,0,0
724,43,650,5,28,1,0,1
725,170,447,4,1418,9,6,0
726,462,399,3,25,1,0,1
727,221,138,2,1064,18,15,0
728,475,523,4,1500,13,11,0
729,467,629,5,1708,8,2,0
730,338,54,4,25,1,0,1
731,475,142,5,5,1,0,1
732,51,199,5,792,1,8,0
733,302,284,6,1552,15,2,0
734,316,16,2,1052,1,6,0
735,390,263,5,1211,11,7,0
736,487,584,3,640,3,3,0
737,415,577,6,6,1,0,1
738,120,316,4,272,18,7,0
739,452,96,6,847,16,6,0
740,420,578,3,1502,8,4,0
741,202,506,1,1664,18,8,0
742,389,530,4,1678,17,13,0
743,170,390,6,1363,5,5,0
744,340,679,5,1368,6,5,0
745,85,550,1,1566,4,6,0
746,192,215,1,18,1,0,1
747,264,352,4,1106,10,13,0
748,210,655,4,1038,1,12,0
749,411,565,2,20,1,0,1
750,376,288,5,676,19,15,0
751,41,237,3,1312,7,2,0
752,166,353,6,1622,11,5,0
753,359,638,4,572,18,14,0
754,45,703,1,1455,10,12,0
755,476,161,4,918,11,3,0
756,334,121,5,1277,16,13,0
757,115,275,5,18,1,0,1
758,163,74,3,1604,14,9,0
759,314,413,4,1094,20,13,0
760,370,9,1,23,1,0,1
761,180,517,2,134,4,12,0
762,429,39,1,1563,11,15,0
763,80,177,3,306,5,8,0
764,406,221,3,1591,20,5,0
765,211,567,1,1172,17,8,0
766,356,51,1,1657,17,1,0
767,407,209,2,14,1,0,1
768,37,342,2,908,8,11,0
769,270,409,4,1539,16,3,0
770,168,268,3,863,1,11,0
771,79,403,1,24,1,0,1
772,249,274,6,1698,13,4,0
773,25,645,3,1544,7,12,0
774,437,307,5,1184,3,3,0
775,79,728,5,1691,12,13,0
776,321,700,2,1654,17,11,0
777,88,88,3,667,7,7,0
778,345,510,4,706,11,4,0
779,82,396,2,18,1,0,1
780,483,622,3,17,1,0,1
781,263,274,3,1542,13,0,0
782,313,23,4,1710,11,2,0
783,458,577,6,1176,4,2,0
784,192,380,1,323,19,8,0
785,407,315,5,29,1,0,1
786,106,689,1,18,1,0,1
787,318,555,2,1074,8,10,0
788,244,279,4,921,14,11,0
789,164,597,1,995,1,11,0
790,372,628,3,1338,7,9,0
791,393,443,5,20,1,0,1
792,53,345,4,1649,19,5,0
793,372,3,5,554,20,1,0
794,485,711,2,621,4,11,0
795,304,475,4,8,1,0,1
796,340,49,1,262,11,8,0
797,440,235,3,1268,9,7,0
798,420,676,3,1431,18,15,0
799,181,375,4,21,1,0,1
800,131,107,2,711,9,15,0
801,202,547,3,1338,12,14,0
802,341,322,2,12,1,0,1
803,275,376,3,725,18,0,0
804,346,597,3,1005,20,9,0
805,186,514,1,1348,14,12,0
806,404,544,3,25,1,0,1
807,398,199,4,353,8,6,0
808,336,654,3,919,1,9,0
809,53,258,4,30,1,0,1
810,500,456,6,1477,4,8,0
811,253,686,5,1011,8,9,0
812,179,731,3,23,1,0,1
813,22,531,6,453,16,9,0
814,393,413,1,261,15,0,0
815,423,398,1,5,1,0,1
816,179,631,6,5,1,0,1
817,21,108,4,1545,2,12,0
818,405,662,3,1186,2,15,0
819,359,612,2,1093,11,10,0
820,204,721,2,234,12,7,0
821,395,600,4,921,13,7,0
822,102,439,4,501,12,11,0
823,305,418,1,1011,2,14,0
824,274,552,2,13,1,0,1
825,496,219,2,1650,12,3,0
826,314,8,1,567,7,1,0
827,467,318,2,1018,10,7,0
828,436,689,2,652,16,13,0
829,420,65,6,558,17,0,0
830,394,684,1,26,1,0,1
831,234,690,6,12,1,0,1
832,397,644,4,1737,12,4,0
833,13,526,2,1750,11,5,0
834,343,426,2,1503,16,8,0
835,410,70,2,1047,17,12,0
836,299,107,1,1669,5,4,0
837,408,171,1,550,6,10,0
838,413,387,1,231,19,15,0
839,280,582,2,1736,11,9,0
840,389,327,4,550,9,12,0
841,359,220,2,777,11,8,0
842,40,113,5,8,1,0,1
843,353,546,6,1750,11,2,0
844,472,461,2,21,1,0,1
845,352,347,2,128,7,3,0
846,111,456,6,888,17,9,0
847,275,287,4,174,9,12,0
848,85,29,1,544,17,7,0
849,166,274,1,8,1,0,1
850,227,174,5,11,1,0,1
851,6,201,1,1050,16,12,0
