sale_id,customer_id,product_id,date_id,channel_id,quantity,unit_price,discount,total_amount,profit
68,420,7,518,4,2,513.64,0.15,873.19,313.83
69,223,5,607,6,5,671.56,0,3357.8,1759.95
70,436,9,243,3,3,289.81,0,869.43,184.68
71,232,26,718,3,3,126.95,0,380.85,213.75
72,400,15,77,5,2,322.83,0,645.66,151.84
73,231,7,160,4,1,513.64,0,513.64,233.96
74,184,21,417,2,1,82.31,0.1,74.08,13.04
75,437,29,316,1,4,401.57,0,1606.28,896.08
76,361,6,162,6,3,810.96,0.2,1946.3,973.1
77,439,39,42,3,2,557.18,0.2,891.49,184.47
78,203,10,94,5,2,221.54,0,443.08,77.64
79,420,4,694,2,3,281.0,0,843.0,258.18
80,384,2,415,5,4,649.16,0.1,2336.98,943.98
81,412,16,97,2,4,44.4,0,177.6,96.48
82,400,8,13,2,1,119.79,0.2,95.83,21.38
83,352,9,203,6,4,289.81,0,1159.24,246.24
84,133,42,87,1,5,127.83,0.1,575.24,314.54
85,228,2,67,2,2,649.16,0.15,1103.57,407.07
86,483,6,340,4,1,810.96,0,810.96,486.56
87,421,4,173,6,5,281.0,0.05,1334.75,360.05
88,350,26,509,4,1,126.95,0.05,120.6,64.9
89,141,12,363,3,2,895.29,0,1790.58,826.38
90,318,29,153,5,1,401.57,0.1,361.41,183.86
91,211,16,663,5,3,44.4,0.05,126.54,65.7
92,197,31,63,2,1,586.53,0,586.53,197.59
93,323,27,205,5,5,598.18,0,2990.9,1106.3
94,279,2,392,4,3,649.16,0.05,1850.11,805.36
95,199,23,580,3,5,423.47,0,2117.35,1184.35
96,113,12,27,1,3,895.29,0.1,2417.28,970.98
97,242,50,288,5,1,375.47,0.2,300.38,90.34
98,52,23,599,2,2,423.47,0,846.94,473.74
99,418,43,247,6,3,943.2,0.1,2546.64,1364.88
100,409,4,225,4,5,281.0,0.2,1124.0,149.3
101,304,23,178,3,2,423.47,0,846.94,473.74
102,15,48,715,6,3,623.86,0.1,1684.42,665.2
103,73,45,361,5,5,157.72,0.1,709.74,370.69
104,90,13,505,4,5,522.55,0,2612.75,1362.7
105,309,3,93,2,1,292.44,0,292.44,80.41
106,170,2,540,5,4,649.16,0,2596.64,1203.64
107,91,13,134,3,3,522.55,0.15,1332.5,582.47
108,361,4,23,2,2,281.0,0.1,505.8,115.92
109,187,50,114,1,5,375.47,0.2,1501.88,451.68
110,52,24,722,3,4,54.65,0.1,196.74,94.34
111,375,20,331,4,2,735.47,0,1470.94,702.68
112,363,41,499,5,3,1026.59,0,3079.77,1601.31
113,341,45,629,5,3,157.72,0,473.16,269.73
114,353,12,388,3,3,895.29,0.15,2282.99,836.69
115,486,9,182,5,1,289.81,0.15,246.34,18.09
116,309,26,582,3,1,126.95,0,126.95,71.25
117,480,40,227,4,5,317.98,0,1589.9,903.25
118,178,10,340,3,1,221.54,0,221.54,38.82
119,363,11,652,6,1,164.01,0.2,131.21,58.63
120,136,41,344,2,4,1026.59,0,4106.36,2135.08
121,132,16,710,1,1,44.4,0,44.4,24.12
122,225,47,2,6,1,909.03,0.05,863.58,448.48
123,452,27,171,4,4,598.18,0.05,2273.08,765.4
124,425,23,560,4,4,423.47,0,1693.88,947.48
125,232,37,667,1,2,279.66,0,559.32,202.02
126,134,3,302,1,1,292.44,0,292.44,80.41
127,83,5,351,6,2,671.56,0.05,1275.96,636.82
128,305,5,561,5,1,671.56,0,671.56,351.99
129,483,31,722,6,1,586.53,0.05,557.2,168.26
130,28,11,622,1,4,164.01,0,656.04,365.72
131,357,22,211,5,2,882.41,0.05,1676.58,899.22
132,145,47,554,3,3,909.03,0.15,2318.03,1072.73
133,293,16,99,5,1,44.4,0.05,42.18,21.9
134,2,32,158,4,1,798.1,0,798.1,391.8
135,103,6,302,1,5,810.96,0.05,3852.06,2230.06
136,150,2,212,1,2,649.16,0.15,1103.57,407.07
137,204,31,119,4,3,586.53,0.2,1407.67,240.85
138,329,32,677,5,3,798.1,0,2394.3,1175.4
139,190,25,190,2,3,684.94,0.05,1952.08,1125.76
140,239,29,46,3,3,401.57,0.05,1144.47,611.82
141,78,15,276,6,5,322.83,0,1614.15,379.6
142,177,43,100,5,1,943.2,0.15,801.72,407.8
143,32,27,604,4,2,598.18,0.1,1076.72,322.88
144,444,34,429,4,5,450.53,0.15,1914.75,323.65
145,41,37,242,4,4,279.66,0,1118.64,404.04
146,462,46,36,5,5,273.23,0.1,1229.54,586.59
147,62,37,694,4,5,279.66,0,1398.3,505.05
148,99,12,172,2,2,895.29,0.2,1432.46,468.26
149,223,3,434,2,1,292.44,0.15,248.57,36.54
150,164,41,152,6,5,1026.59,0,5132.95,2668.85
151,204,5,90,5,4,671.56,0.1,2417.62,1139.34
152,470,21,283,1,5,82.31,0.05,390.97,85.77
153,401,45,639,4,5,157.72,0.1,709.74,370.69
154,291,8,425,5,2,119.79,0,239.58,90.68
155,400,38,103,1,1,440.34,0.1,396.31,124.62
156,136,19,549,4,3,500.98,0.05,1427.79,733.68
157,243,42,498,1,5,127.83,0.1,575.24,314.54
158,317,12,283,5,4,895.29,0,3581.16,1652.76
159,203,44,711,3,4,1154.92,0,4619.68,2634.56
160,244,45,244,3,1,157.72,0.15,134.06,66.25
161,407,24,21,3,3,54.65,0.2,131.16,54.36
162,357,20,288,6,4,735.47,0.2,2353.5,816.98
163,499,7,234,6,2,513.64,0,1027.28,467.92
164,214,29,329,5,3,401.57,0.15,1024.0,491.35
165,109,42,92,4,2,127.83,0.05,242.88,138.6
166,192,48,497,1,5,623.86,0.2,2495.44,796.74
167,364,33,163,5,1,379.26,0,379.26,200.7
168,15,26,139,2,5,126.95,0.1,571.27,292.77
169,17,13,206,4,1,522.55,0,522.55,272.54
170,189,4,370,4,2,281.0,0,562.0,172.12
171,16,33,407,2,1,379.26,0.15,322.37,143.81
172,91,24,501,4,5,54.65,0.05,259.59,131.59
173,84,38,565,3,3,440.34,0,1321.02,505.95
174,15,48,706,4,1,623.86,0,623.86,284.12
175,495,4,167,2,5,281.0,0.2,1124.0,149.3
176,106,15,663,3,2,322.83,0.15,548.81,54.99
177,443,42,420,6,5,127.83,0,639.15,378.45
178,89,1,486,5,2,224.55,0.15,381.74,69.42
179,413,1,230,3,3,224.55,0.1,606.29,137.81
180,459,46,727,4,3,273.23,0.05,778.71,392.94
181,239,23,471,3,3,423.47,0,1270.41,710.61
182,300,44,534,1,5,1154.92,0.05,5485.87,3004.47
183,332,1,524,5,3,224.55,0.1,606.29,137.81
184,56,39,290,4,3,557.18,0.15,1420.81,360.28
185,167,5,345,3,3,671.56,0.15,1712.48,753.77
186,77,17,672,5,3,232.94,0,698.82,250.08
187,439,49,247,5,1,450.59,0.2,360.47,69.64
188,72,26,677,6,3,126.95,0.15,323.72,156.62
189,133,2,672,4,4,649.16,0,2596.64,1203.64
190,363,26,398,5,1,126.95,0.1,114.26,58.56
191,274,13,352,6,2,522.55,0.15,888.33,388.31
192,154,31,688,2,3,586.53,0.1,1583.63,416.81
193,50,43,572,4,2,943.2,0,1886.4,1098.56
194,468,9,265,2,5,289.81,0.2,1159.24,17.99
195,182,44,344,2,1,1154.92,0,1154.92,658.64
196,455,48,315,3,4,623.86,0.2,1996.35,637.39
197,238,24,267,1,5,54.65,0,273.25,145.25
198,484,31,55,5,5,586.53,0.1,2639.38,694.68
199,62,5,484,6,2,671.56,0.1,1208.81,569.67
200,28,25,543,2,3,684.94,0.05,1952.08,1125.76
201,292,9,206,4,3,289.81,0.05,825.96,141.21
202,42,10,324,4,2,221.54,0.2,354.46,-10.98
203,325,22,647,1,2,882.41,0,1764.82,987.46
204,390,1,463,2,3,224.55,0,673.65,205.17
205,391,37,163,1,4,279.66,0.2,894.91,180.31
206,220,9,630,4,4,289.81,0.15,985.35,72.35
207,20,28,489,5,4,891.72,0,3566.88,1568.24
208,388,13,383,5,1,522.55,0,522.55,272.54
209,376,13,19,2,1,522.55,0.15,444.17,194.16
210,67,15,711,1,3,322.83,0,968.49,227.76
211,86,25,516,1,5,684.94,0,3424.7,2047.5
212,373,3,306,5,3,292.44,0.05,833.45,197.36
213,455,39,537,6,3,557.18,0.05,1587.96,527.43
214,385,9,351,2,4,289.81,0,1159.24,246.24
215,115,11,414,6,1,164.01,0,164.01,91.43
216,259,9,217,2,1,289.81,0.1,260.83,32.58
217,449,8,376,6,1,119.79,0.05,113.8,39.35
218,305,17,548,1,5,232.94,0,1164.7,416.8
219,354,43,111,1,1,943.2,0,943.2,549.28
220,281,27,455,3,4,598.18,0,2392.72,885.04
221,356,31,719,6,2,586.53,0,1173.06,395.18
222,339,41,10,1,3,1026.59,0.05,2925.78,1447.32
223,311,43,533,6,3,943.2,0.1,2546.64,1364.88
224,369,9,429,5,1,289.81,0.1,260.83,32.58
225,55,8,290,4,1,119.79,0.2,95.83,21.38
226,135,13,624,5,2,522.55,0.2,836.08,336.06
227,83,13,367,1,4,522.55,0,2090.2,1090.16
228,478,36,509,4,2,137.22,0.15,233.27,18.39
229,344,22,241,1,1,882.41,0,882.41,493.73
230,487,8,588,1,4,119.79,0,479.16,181.36
231,371,50,524,1,1,375.47,0.15,319.15,109.11
232,152,17,660,3,2,232.94,0.05,442.59,143.43
233,90,30,52,1,1,554.1,0.2,443.28,220.94
234,379,19,369,1,3,500.98,0.05,1427.79,733.68
235,71,7,47,6,1,513.64,0.2,410.91,131.23
236,458,42,175,4,3,127.83,0,383.49,227.07
237,418,40,275,3,1,317.98,0,317.98,180.65
238,493,12,117,4,4,895.29,0.05,3402.1,1473.7
239,216,18,395,6,4,384.63,0.2,1230.82,146.34
240,372,11,116,1,2,164.01,0.15,278.82,133.66
241,248,11,107,5,4,164.01,0.1,590.44,300.12
242,195,44,449,3,2,1154.92,0.1,2078.86,1086.3
243,472,40,30,4,2,317.98,0.05,604.16,329.5
244,33,8,422,3,4,119.79,0,479.16,181.36
245,445,42,322,6,1,127.83,0.15,108.66,56.52
246,490,34,591,6,5,450.53,0,2252.65,661.55
247,359,22,532,5,5,882.41,0.15,3750.24,1806.84
248,178,7,444,6,2,513.64,0.05,975.92,416.56
249,430,44,657,5,4,1154.92,0,4619.68,2634.56
250,479,40,56,2,1,317.98,0.15,270.28,132.95
251,85,33,481,1,4,379.26,0.2,1213.63,499.39
252,170,49,504,3,3,450.59,0,1351.77,479.28
253,330,4,520,4,2,281.0,0.1,505.8,115.92
254,228,26,241,5,1,126.95,0.05,120.6,64.9
255,162,29,91,1,4,401.57,0.05,1525.97,815.77
256,207,32,670,4,1,798.1,0,798.1,391.8
257,423,3,571,1,5,292.44,0,1462.2,402.05
258,288,39,634,2,3,557.18,0.1,1504.39,443.86
259,187,42,688,1,4,127.83,0,511.32,302.76
260,393,15,466,5,3,322.83,0.1,871.64,130.91
261,232,39,485,1,3,557.18,0.15,1420.81,360.28
262,175,7,675,3,2,513.64,0,1027.28,467.92
263,192,41,299,6,5,1026.59,0.1,4619.65,2155.55
264,72,7,47,6,2,513.64,0.05,975.92,416.56
265,313,48,420,2,1,623.86,0,623.86,284.12
266,235,13,124,2,4,522.55,0,2090.2,1090.16
267,213,46,347,1,1,273.23,0.2,218.58,89.99
268,396,41,689,4,5,1026.59,0,5132.95,2668.85
269,69,30,675,4,5,554.1,0.1,2493.45,1381.75
270,479,1,544,4,1,224.55,0.1,202.1,45.94
271,472,38,495,2,5,440.34,0.2,1761.36,402.91
272,418,45,593,2,2,157.72,0.15,268.12,132.5
273,452,7,397,3,5,513.64,0.1,2311.38,912.98
274,469,33,394,6,4,379.26,0.1,1365.34,651.1
275,494,49,255,3,3,450.59,0.05,1284.18,411.69
276,212,19,464,5,2,500.98,0,1001.96,539.22
277,360,45,525,5,3,157.72,0.2,378.53,175.1
278,112,21,729,2,5,82.31,0.15,349.82,44.62
279,177,14,640,6,3,482.99,0.15,1231.62,599.4
280,278,9,728,6,2,289.81,0.1,521.66,65.16
281,181,41,331,5,1,1026.59,0.2,821.27,328.45
282,364,31,597,4,5,586.53,0.15,2492.75,548.05
283,217,44,547,1,3,1154.92,0.2,2771.81,1282.97
284,75,34,110,1,1,450.53,0.05,428.0,109.78
285,385,43,58,2,2,943.2,0,1886.4,1098.56
286,430,19,700,1,3,500.98,0,1502.94,808.83
287,278,45,303,1,2,157.72,0.2,252.35,116.73
288,445,23,464,6,1,423.47,0.1,381.12,194.52
289,332,48,576,5,2,623.86,0.15,1060.56,381.08
290,408,25,244,6,5,684.94,0.2,2739.76,1362.56
291,199,19,710,4,1,500.98,0.05,475.93,244.56
292,7,44,321,6,5,1154.92,0,5774.6,3293.2
293,400,17,208,4,5,232.94,0.2,931.76,183.86
294,302,15,649,5,3,322.83,0.2,774.79,34.06
295,372,48,618,2,2,623.86,0.2,998.18,318.7
296,39,19,460,2,2,500.98,0.15,851.67,388.93
297,21,12,527,4,1,895.29,0.05,850.53,368.43
298,83,18,570,5,3,384.63,0,1153.89,340.53
299,364,17,6,2,3,232.94,0.05,663.88,215.14
300,27,3,158,6,3,292.44,0.1,789.59,153.5
301,405,40,678,5,3,317.98,0.05,906.24,494.25
302,363,36,367,3,1,137.22,0.2,109.78,2.34
303,35,34,226,5,2,450.53,0.1,810.95,174.51
304,207,11,426,1,5,164.01,0.1,738.04,375.14
305,170,23,227,3,2,423.47,0.15,719.9,346.7
306,317,24,301,5,2,54.65,0.2,87.44,36.24
307,343,31,575,3,1,586.53,0,586.53,197.59
308,125,29,247,1,5,401.57,0.1,1807.07,919.32
309,484,44,329,1,4,1154.92,0.2,3695.74,1710.62
310,145,25,263,1,5,684.94,0.15,2911.0,1533.8
311,261,34,384,4,5,450.53,0.2,1802.12,211.02
312,99,32,45,3,3,798.1,0.15,2035.16,816.26
313,498,33,85,5,1,379.26,0,379.26,200.7
314,344,35,8,6,1,108.56,0,108.56,34.64
315,54,50,219,2,4,375.47,0.2,1201.5,361.34
316,419,35,720,1,4,108.56,0.15,369.1,73.42
317,236,48,703,6,2,623.86,0,1247.72,568.24
318,28,22,39,2,1,882.41,0,882.41,493.73
319,421,17,572,2,1,232.94,0.1,209.65,60.07
320,323,17,418,4,4,232.94,0.05,885.17,286.85
321,345,28,324,1,1,891.72,0.05,847.13,347.47
322,388,35,7,6,5,108.56,0,542.8,173.2
323,476,38,47,5,1,440.34,0,440.34,168.65
324,45,7,297,3,3,513.64,0.1,1386.83,547.79
325,421,49,449,6,4,450.59,0.05,1712.24,548.92
326,113,2,486,2,2,649.16,0.1,1168.49,471.99
327,492,48,401,6,5,623.86,0,3119.3,1420.6
328,284,10,306,5,3,221.54,0,664.62,116.46
329,294,10,127,5,1,221.54,0,221.54,38.82
330,157,26,551,2,5,126.95,0,634.75,356.25
331,464,48,353,6,2,623.86,0.05,1185.33,505.85
332,114,33,146,5,2,379.26,0,758.52,401.4
333,344,17,199,5,1,232.94,0,232.94,83.36
334,282,4,563,1,4,281.0,0.15,955.4,175.64
335,51,19,688,2,1,500.98,0,500.98,269.61
336,183,47,595,2,4,909.03,0,3636.12,1975.72
337,146,43,672,5,2,943.2,0,1886.4,1098.56
338,231,5,199,3,3,671.56,0.05,1913.95,955.24
339,300,40,676,2,3,317.98,0.15,810.85,398.86
340,162,37,581,4,3,279.66,0.2,671.18,135.23
341,403,11,5,2,3,164.01,0,492.03,274.29
342,431,46,657,3,4,273.23,0,1092.92,578.56
343,237,9,696,4,3,289.81,0.05,825.96,141.21
344,56,23,313,2,4,423.47,0.1,1524.49,778.09
345,144,42,622,2,1,127.83,0.2,102.26,50.12
346,454,35,202,6,3,108.56,0.15,276.83,55.07
347,260,5,78,6,1,671.56,0.2,537.25,217.68
348,394,2,596,5,5,649.16,0.05,3083.51,1342.26
349,279,14,38,5,5,482.99,0,2414.95,1361.25
350,201,31,670,2,2,586.53,0,1173.06,395.18
351,238,50,604,5,3,375.47,0,1126.41,496.29
352,258,33,93,1,4,379.26,0,1517.04,802.8
353,85,43,245,5,5,943.2,0.15,4008.6,2039.0
354,290,9,457,5,2,289.81,0,579.62,123.12
355,21,43,150,2,4,943.2,0,3772.8,2197.12
356,136,49,500,3,2,450.59,0,901.18,319.52
357,465,15,44,3,2,322.83,0.1,581.09,87.27
358,21,25,481,6,4,684.94,0,2739.76,1638.0
359,425,21,106,3,5,82.31,0.15,349.82,44.62
360,292,48,270,2,5,623.86,0.1,2807.37,1108.67
361,301,25,670,6,4,684.94,0,2739.76,1638.0
362,499,5,530,2,3,671.56,0.05,1913.95,955.24
363,445,34,416,3,3,450.53,0.2,1081.27,126.61
364,257,32,494,2,5,798.1,0,3990.5,1959.0
365,264,29,170,6,2,401.57,0,803.14,448.04
366,81,18,217,3,2,384.63,0,769.26,227.02
367,416,39,122,3,2,557.18,0.05,1058.64,351.62
368,246,47,117,4,4,909.03,0.15,3090.7,1430.3
369,427,14,605,4,2,482.99,0.15,821.08,399.6
370,294,2,250,5,1,649.16,0,649.16,300.91
371,457,11,138,5,5,164.01,0,820.05,457.15
372,473,10,58,2,2,221.54,0,443.08,77.64
373,327,34,416,1,5,450.53,0.1,2027.38,436.28
374,111,47,678,4,3,909.03,0,2727.09,1481.79
375,113,39,483,4,4,557.18,0,2228.72,814.68
376,393,39,147,2,5,557.18,0.2,2228.72,461.17
377,86,40,676,6,5,317.98,0,1589.9,903.25
378,303,44,351,1,4,1154.92,0.1,4157.71,2172.59
379,56,15,388,1,4,322.83,0,1291.32,303.68
380,215,13,536,2,5,522.55,0.15,2220.84,970.79
381,462,39,99,5,2,557.18,0.05,1058.64,351.62
382,386,39,40,1,5,557.18,0.1,2507.31,739.76
383,277,6,494,1,2,810.96,0.1,1459.73,810.93
384,216,50,695,3,4,375.47,0.1,1351.69,511.53
385,118,3,715,4,5,292.44,0.05,1389.09,328.94
386,412,50,391,6,3,375.47,0.1,1013.77,383.65
387,218,49,714,2,5,450.59,0,2252.95,798.8
388,43,17,489,3,2,232.94,0.2,372.7,73.54
389,97,39,557,1,4,557.18,0,2228.72,814.68
390,61,46,8,5,5,273.23,0.1,1229.54,586.59
391,412,1,385,3,2,224.55,0.15,381.74,69.42
392,219,27,371,6,1,598.18,0,598.18,221.26
393,275,38,260,4,3,440.34,0.2,1056.82,241.75
394,349,37,375,4,5,279.66,0,1398.3,505.05
395,402,49,209,5,4,450.59,0.1,1622.12,458.8
396,285,31,184,4,3,586.53,0.1,1583.63,416.81
397,397,17,315,6,5,232.94,0,1164.7,416.8
398,118,26,142,4,1,126.95,0.15,107.91,52.21
399,261,45,166,4,1,157.72,0,157.72,89.91
400,351,22,564,6,5,882.41,0.15,3750.24,1806.84
401,3,4,165,1,4,281.0,0.15,955.4,175.64
402,46,10,483,1,5,221.54,0.05,1052.32,138.72
403,312,17,228,1,3,232.94,0,698.82,250.08
404,336,47,394,5,4,909.03,0.1,3272.51,1612.11
405,485,19,729,2,5,500.98,0,2504.9,1348.05
406,104,41,507,6,4,1026.59,0,4106.36,2135.08
407,402,34,293,5,2,450.53,0,901.06,264.62
408,87,33,529,6,2,379.26,0.1,682.67,325.55
409,1,3,369,2,2,292.44,0.15,497.15,73.09
410,343,6,283,4,4,810.96,0,3243.84,1946.24
411,8,26,601,6,2,126.95,0.1,228.51,117.11
412,146,46,71,6,1,273.23,0.1,245.91,117.32
413,494,36,597,3,3,137.22,0,411.66,89.34
414,477,15,621,4,2,322.83,0.05,613.38,119.56
415,209,37,5,5,3,279.66,0,838.98,303.03
416,151,7,573,3,1,513.64,0.1,462.28,182.6
417,417,8,526,5,3,119.79,0.1,323.43,100.08
418,289,17,711,4,4,232.94,0.05,885.17,286.85
419,235,50,250,6,3,375.47,0.2,901.13,271.01
420,60,30,601,3,1,554.1,0.05,526.39,304.05
421,360,5,392,2,2,671.56,0.15,1141.65,502.51
422,275,21,423,1,3,82.31,0.1,222.24,39.12
423,48,45,270,4,2,157.72,0,315.44,179.82
424,477,44,351,2,1,1154.92,0.1,1039.43,543.15
425,458,31,322,5,3,586.53,0,1759.59,592.77
426,378,18,188,2,2,384.63,0.05,730.8,188.56
427,118,16,248,2,3,44.4,0,133.2,72.36
428,399,16,634,1,3,44.4,0,133.2,72.36
429,4,8,81,5,4,119.79,0.1,431.24,133.44
430,162,3,494,4,3,292.44,0.1,789.59,153.5
431,392,37,282,5,4,279.66,0,1118.64,404.04
432,296,18,408,2,2,384.63,0.2,615.41,73.17
433,482,4,539,5,4,281.0,0.05,1067.8,288.04
434,441,3,515,6,3,292.44,0.05,833.45,197.36
435,358,50,179,5,4,375.47,0,1501.88,661.72
436,346,30,324,2,1,554.1,0,554.1,331.76
437,186,25,595,5,1,684.94,0,684.94,409.5
438,122,17,192,3,5,232.94,0,1164.7,416.8
439,95,31,628,4,3,586.53,0,1759.59,592.77
440,386,28,216,3,4,891.72,0.15,3031.85,1033.21
441,93,24,411,5,3,54.65,0.05,155.75,78.95
442,52,9,590,6,2,289.81,0.2,463.7,7.2
443,439,18,242,4,5,384.63,0.05,1826.99,471.39
444,413,13,150,1,2,522.55,0.05,992.84,492.82
445,458,12,432,6,4,895.29,0,3581.16,1652.76
446,250,34,547,3,3,450.53,0.2,1081.27,126.61
447,204,17,576,1,5,232.94,0,1164.7,416.8
448,417,45,168,3,1,157.72,0,157.72,89.91
449,382,31,645,3,1,586.53,0.05,557.2,168.26
450,286,17,370,3,3,232.94,0.1,628.94,180.2
451,180,23,21,6,4,423.47,0,1693.88,947.48
452,333,39,204,6,5,557.18,0.1,2507.31,739.76
453,167,35,179,6,3,108.56,0,325.68,103.92
454,196,33,500,5,4,379.26,0,1517.04,802.8
455,86,19,475,6,2,500.98,0.2,801.57,338.83
456,208,22,432,1,5,882.41,0.1,3970.85,2027.45
457,161,6,166,3,3,810.96,0,2432.88,1459.68
458,331,42,299,4,3,127.83,0.1,345.14,188.72
459,301,18,456,5,3,384.63,0.15,980.81,167.45
460,438,29,424,1,2,401.57,0,803.14,448.04
461,359,9,241,6,3,289.81,0.15,739.02,54.27
462,53,6,216,1,2,810.96,0.05,1540.82,892.02
463,14,5,485,4,5,671.56,0,3357.8,1759.95
464,317,34,86,2,1,450.53,0,450.53,132.31
465,118,6,671,2,4,810.96,0,3243.84,1946.24
466,65,48,291,2,4,623.86,0.15,2121.12,762.16
467,340,34,175,3,1,450.53,0,450.53,132.31
468,277,21,488,3,4,82.31,0.2,263.39,19.23
469,277,36,456,2,2,137.22,0.15,233.27,18.39
470,384,38,612,6,4,440.34,0.15,1497.16,410.4
471,328,37,446,5,5,279.66,0.15,1188.56,295.31
472,117,20,356,1,4,735.47,0.1,2647.69,1111.17
473,134,29,316,2,3,401.57,0.05,1144.47,611.82
474,418,20,11,2,1,735.47,0.1,661.92,277.79
475,5,23,294,6,4,423.47,0.1,1524.49,778.09
476,393,32,489,4,3,798.1,0,2394.3,1175.4
477,4,19,612,5,2,500.98,0.2,801.57,338.83
478,224,24,194,4,4,54.65,0.1,196.74,94.34
479,194,16,168,2,4,44.4,0.2,142.08,60.96
480,123,17,82,5,4,232.94,0.15,792.0,193.68
481,333,49,628,6,3,450.59,0,1351.77,479.28
482,437,35,276,1,4,108.56,0,434.24,138.56
483,327,12,140,4,3,895.29,0,2685.87,1239.57
484,319,40,464,4,3,317.98,0.15,810.85,398.86
485,26,13,329,5,1,522.55,0,522.55,272.54
486,138,2,191,2,1,649.16,0,649.16,300.91
487,47,46,449,2,1,273.23,0,273.23,144.64
488,216,1,506,3,2,224.55,0,449.1,136.78
489,406,32,381,1,4,798.1,0.15,2713.54,1088.34
490,137,22,83,4,2,882.41,0,1764.82,987.46
491,99,5,557,3,4,671.56,0,2686.24,1407.96
492,366,25,13,2,1,684.94,0.2,547.95,272.51
493,18,25,454,2,2,684.94,0.15,1164.4,613.52
494,107,30,97,4,5,554.1,0.15,2354.92,1243.22
495,82,25,698,6,3,684.94,0,2054.82,1228.5
496,63,47,44,3,5,909.03,0.1,4090.63,2015.13
497,185,31,654,1,3,586.53,0,1759.59,592.77
498,325,43,224,4,1,943.2,0,943.2,549.28
499,142,21,16,5,2,82.31,0.2,131.7,9.62
